Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4918,Tear Ring Saga Yutona Eiyuu Senki,PC,2001,Role-Playing,Enterbrain,0,0,0.37,0.03,0.39
4919,Project X Zone,X360,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39
4920,Red Faction: Armageddon,X360,2011,Shooter,THQ,0.18,0.17,0.01,0.04,0.39
4921,Wipeout 2048,PC4,2012,Racing,Sony Computer Entertainment,0.14,0.19,0,0.06,0.39
4922,Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.22,0.13,0,0.04,0.39
4923,Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo,0.19,0.17,0,0.03,0.39
4924,Yoshi Touch & Go,Wii,2005,Platform,Nintendo,0.34,0.02,0,0.03,0.39
4925,EA Sports Active 2,X360,2010,Sports,Electronic Arts,0.18,0.17,0,0.04,0.39
4926,Combat of Giants: Dinosaurs 3D,X360,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39
4927,Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0,0,0.39,0,0.39
4928,Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.32,0,0.07,0.39
4929,SSX 3,X360,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.39
4930,MLB 15: The Show,PC4,2015,Sports,Sony Computer Entertainment,0.3,0.01,0,0.07,0.39
4931,Madden NFL 2005,PC,2004,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39
4932,All-Star Baseball 2000,X360,1999,Sports,Acclaim Entertainment,0.36,0.03,0,0,0.39
4933,Custom Robo V2,X360,2000,Fighting,Nintendo,0,0,0.34,0.05,0.39
4934,Extreme-G: XG2,X360,1998,Racing,Acclaim Entertainment,0.31,0.07,0,0,0.39
4935,BattleTanx: Global Assault,X360,1999,Action,3DO,0.31,0.07,0,0,0.39
4936,Robert Ludlum's The Bourne Conspiracy,PC4,N/A,Action,Vivendi Games,0.18,0.14,0,0.06,0.39
4937,Chibi-Robo! Plug into Adventure!,PC,2005,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39
4938,Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,0.32,0,0.07,0.39
4939,Jampack Winter 2003 (RP-T),PC4,2003,Misc,Sony Computer Entertainment,0.19,0.15,0,0.05,0.39
4940,Dancing with the Stars: We Dance!,Wii,2008,Misc,Activision,0.36,0,0,0.03,0.39
4941,Kengo: Master of Bushido,PC4,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39
4942,Blood Omen 2,PC4,2002,Action,Eidos Interactive,0.19,0.15,0,0.05,0.39
4943,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.37,0,0,0.02,0.39
4944,Skylanders Giants,Wii,2012,Action,Activision,0.23,0.12,0,0.04,0.39
4945,Just Dance 4,Wii,2012,Misc,Ubisoft,0.22,0.14,0,0.03,0.39
4946,Super Fire ProWrestling,PC,1991,Fighting,Human Entertainment,0,0,0.39,0,0.39
4947,Cabela's Dangerous Hunts 2,PC4,2005,Sports,Activision,0.19,0.15,0,0.05,0.39
4948,Marvel: Ultimate Alliance,PC4,2006,Role-Playing,Activision,0.33,0.02,0,0.04,0.39
4949,SpongeBob vs The Big One: Beach Party Cook Off,Wii,2009,Adventure,THQ,0.24,0.11,0,0.04,0.39
4950,MotoGP 08,PC4,2008,Racing,Capcom,0.07,0.24,0,0.08,0.39
4951,Imagine: Party Babyz,Wii,2008,Simulation,Ubisoft,0.34,0.02,0,0.03,0.39
4952,Chessmaster,PC4,2003,Misc,Ubisoft,0.19,0.15,0,0.05,0.39
4953,Tiger Woods PGA Tour 14,PC4,2013,Sports,Electronic Arts,0.16,0.15,0,0.07,0.39
4954,Fatal Fury,PC,1992,Fighting,Takara,0,0,0.39,0,0.39
4955,Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.03,0.39
4956,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,Wii,2001,Role-Playing,Banpresto,0,0,0.39,0,0.39
4957,The Dog Island,Wii,2007,Adventure,Ubisoft,0.35,0.01,0,0.03,0.39
4958,Madden NFL Football,X360,2011,Sports,Electronic Arts,0.36,0.01,0,0.03,0.39
4959,The Sims 2,PC,2005,Simulation,Electronic Arts,0.28,0.1,0,0.01,0.39
4960,Ice Age 2: The Meltdown,PC4,2006,Platform,Vivendi Games,0.19,0.15,0,0.05,0.39
4961,MLB 14: The Show,PC4,2014,Sports,Sony Computer Entertainment America,0.35,0,0,0.04,0.39
4962,Super Famista 3,PC,1994,Sports,Namco Bandai Games,0,0,0.39,0,0.39
4963,Auto Modellista,PC4,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39
4964,Tom Clancy's Ghost Recon 2: Summit Strike,X360,2005,Shooter,Ubisoft,0.29,0.08,0,0.01,0.39
4965,Junior Classic Games,Wii,2009,Misc,Avanquest,0.26,0.09,0,0.03,0.39
4966,Hooked! Again: Real Motion Fishing,Wii,2009,Sports,505 Games,0.36,0,0,0.03,0.39
4967,Tiger Woods PGA Tour 08,PC4,2007,Sports,Electronic Arts,0.19,0.15,0,0.05,0.39
4968,Karaoke Revolution Presents American Idol Encore,PC4,2008,Misc,Konami Digital Entertainment,0.19,0.15,0,0.05,0.39
4969,Airlock,X360,1981,Action,Data Age,0.36,0.02,0,0,0.39
4970,Tokimeki Memorial 2,PC,1999,Simulation,Konami Digital Entertainment,0,0,0.36,0.03,0.39
4971,Samurai Warriors Chronicles,X360,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
4972,Tomb Raider: Legend,X360,2006,Action,Eidos Interactive,0.27,0.08,0.01,0.03,0.39
4973,Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,0.2,0.15,0,0.04,0.39
4974,Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0,0.36,0,0.02,0.39
4975,Harry Potter: Quidditch World Cup,PC,2003,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39
4976,Jam Sessions: Sing and Play Guitar (US sales),Wii,2007,Misc,Ubisoft,0.38,0,0,0,0.38
4977,Saints Row IV,PC4,2015,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38
4978,Evil Dead: Fistfull of Boomstick,PC4,2003,Action,THQ,0.19,0.15,0,0.05,0.38
4979,One Piece: Unlimited World Red,X360,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38
4980,Phantasy Star Ø,Wii,2008,Role-Playing,Sega,0.16,0,0.2,0.01,0.38
4981,Triple Play 97,PC,1996,Sports,Electronic Arts Victor,0.21,0.15,0,0.03,0.38
4982,Virtua Tennis 2009,PC4,2009,Sports,Sega,0.09,0.23,0,0.07,0.38
4983,Super Soccer,PC,1991,Sports,Nintendo,0,0,0.38,0,0.38
4984,Shin Megami Tensei: Nocturne,PC4,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38
4985,Wario Land II (GBC),Wii,1998,Platform,Nintendo,0,0,0.38,0,0.38
4986,San Francisco Rush: Extreme Racing,PC,1997,Racing,GT Interactive,0.21,0.15,0,0.03,0.38
4987,Dragon's Crown,PC4,2013,Role-Playing,Nippon Ichi Software,0.16,0.05,0.12,0.05,0.38
4988,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PC,1998,Racing,Human Entertainment,0,0,0.36,0.03,0.38
4989,Imagine: Salon Stylist,Wii,2009,Simulation,Ubisoft,0.24,0.11,0,0.04,0.38
4990,ESPN College Hoops 2K5,X360,2004,Sports,Sega,0.29,0.08,0,0.01,0.38
4991,Looney Tunes: Acme Arsenal,PC4,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38
4992,Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision Value,0.36,0,0,0.03,0.38
4993,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,0.17,0.12,0.06,0.03,0.38
4994,SD Gundam G Generation Spirits,PC4,2007,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
4995,Batman: Arkham City,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.18,0,0.03,0.38
4996,Disney Sing It,PC4,2008,Misc,Disney Interactive Studios,0.27,0.07,0,0.04,0.38
4997,Peppa Pig: The Game,Wii,2009,Misc,Pinnacle,0,0.35,0,0.03,0.38
4998,God Eater 2: Rage Burst,PC4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.37,0,0.38
4999,Get Fit with Mel B,PC4,2010,Sports,Black Bean Games,0.15,0.17,0,0.07,0.38
5000,The Cat in the Hat,PC,2005,Platform,Jack of All Games,0.27,0.1,0,0.01,0.38
5001,Naruto Shippuden: Ultimate Ninja Heroes 3,PC4,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38
5002,NFL GameDay 2002,PC4,2001,Sports,Sony Computer Entertainment,0.19,0.15,0,0.05,0.38
5003,Turok: Evolution,PC,2002,Shooter,Acclaim Entertainment,0.3,0.08,0,0.01,0.38
5004,Destiny: The Taken King,X360,2015,Shooter,Activision,0.22,0.12,0,0.03,0.38
5005,Tamagotchi Connection: Corner Shop 3,Wii,2007,Simulation,Atari,0.07,0,0.31,0.01,0.38
5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PC4,2002,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
5007,Ice Age,PC,2002,Action,Ubisoft,0.27,0.1,0,0.01,0.38
5008,Sega Superstars Tennis,PC4,2008,Sports,Sega,0.1,0,0,0.28,0.38
5009,Headhunter,PC4,2002,Action,Sega,0.19,0.15,0,0.05,0.38
5010,Skate,PC4,2007,Sports,Electronic Arts,0.29,0.05,0,0.04,0.38
5011,Shin Megami Tensei: Devil Summoner,PC4,1995,Role-Playing,Atlus,0,0,0.38,0,0.38
5012,Raving Rabbids: Travel in Time 3D,X360,2011,Platform,Ubisoft,0.11,0.23,0,0.04,0.38
5013,NCAA Football 08,PC4,2007,Sports,Electronic Arts,0.35,0,0,0.03,0.38
5014,Marvel Nemesis: Rise of the Imperfects,PC,2005,Fighting,Electronic Arts,0.3,0.08,0,0.01,0.38
5015,NHL 15,PC4,2014,Sports,Electronic Arts,0.21,0.11,0,0.06,0.38
5016,ESPN Extreme Games,PC,1994,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38
5017,Forza Horizon 3,X360,2016,Racing,Microsoft Game Studios,0.15,0.2,0,0.03,0.38
5018,Overlord: Dark Legend,Wii,2009,Action,Codemasters,0.12,0.22,0,0.04,0.38
5019,Ninja: Shadow of Darkness,PC,1998,Action,Eidos Interactive,0.21,0.14,0,0.02,0.38
5020,SD Gundam G Generation-F,PC,2000,Strategy,Namco Bandai Games,0,0,0.36,0.02,0.38
5021,Bratz: Rock Angelz,PC4,2005,Misc,THQ,0.19,0.15,0,0.05,0.38
5022,FlatOut,PC4,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,0.38
5023,Phoenix Wright: Ace Attorney - Dual Destinies,X360,2013,Adventure,Capcom,0,0,0.38,0,0.38
5024,SSX 3,PC,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.38
5025,NCAA Football 11,PC4,2010,Sports,Electronic Arts,0.19,0.15,0,0.05,0.38
5026,Tales of Zestiria,PC4,2015,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38
5027,Lilo & Stitch 2: Hämsterviel Havoc,PC,2004,Action,Disney Interactive Studios,0.27,0.1,0,0.01,0.38
5028,Metal Gear Solid: Snake Eater 3D,X360,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38
5029,Risk: Global Domination,PC4,2003,Strategy,Atari,0.19,0.15,0,0.05,0.38
5030,Elite Beat Agents,Wii,2006,Misc,Nintendo,0.31,0.03,0,0.03,0.38
5031,NBA 2K7,PC4,2006,Sports,Take-Two Interactive,0.3,0.04,0,0.04,0.38
5032,Mobile Suit Gundam version 2.0,PC,1996,Action,Namco Bandai Games,0,0,0.36,0.02,0.38
5033,Grandia Xtreme,PC4,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38
5034,Silent Scope,PC4,2000,Shooter,Konami Digital Entertainment,0.19,0.15,0,0.05,0.38
5035,Final Fantasy Adventure,Wii,1991,Role-Playing,SquareSoft,0,0,0.38,0,0.38
5036,Virtua Tennis 2009,Wii,2009,Sports,Sega,0.13,0.21,0,0.04,0.38
5037,Dora The Explorer: Dora Saves the Snow Princess,PC4,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.05,0.38
5038,The Incredible Hulk,PC4,2008,Action,Sega,0.32,0.01,0,0.05,0.38
5039,Mercenaries 2: World in Flames,PC4,2008,Shooter,Electronic Arts,0.21,0,0,0.17,0.38
5040,Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,0.34,0.02,0,0.02,0.38
5041,EA Sports MMA,PC4,2010,Fighting,Electronic Arts,0.16,0.15,0.01,0.06,0.38
5042,Iron Man 2,PC4,2010,Action,Sega,0.18,0.12,0,0.07,0.38
5043,DiRT 2,Wii,2009,Racing,Codemasters,0.11,0.23,0,0.04,0.38
5044,Tokimeki Memorial: Forever with You,PC4,1996,Simulation,Konami Digital Entertainment,0,0,0.38,0,0.38
5045,MediEvil II,PC,1999,Action,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38
5046,Guitar Hero On Tour: Modern Hits,Wii,2009,Misc,Activision,0.13,0.2,0,0.04,0.38
5047,Hunter: The Reckoning,X360,2002,Action,Interplay,0.28,0.08,0,0.01,0.38
5048,MX vs. ATV Untamed,PC4,2007,Racing,THQ,0.32,0.01,0,0.05,0.38
5049,Rogue Trip: Vacation 2012,PC,1998,Racing,GT Interactive,0.21,0.14,0,0.02,0.38
5050,Dai-4-Ji Super Robot Taisen,PC,1995,Strategy,Banpresto,0,0,0.38,0,0.38
5051,Tiger Woods PGA Tour 08,PC4,2007,Sports,Electronic Arts,0.14,0.15,0,0.09,0.38
5052,Pokemon Channel,PC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38
5053,Taiko no Tatsujin Portable DX,PC4,2011,Misc,Namco Bandai Games,0,0,0.38,0,0.38
5054,Etrian Odyssey IV: Legends of the Titans,X360,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38
5055,Moto Racer World Tour,PC,2000,Racing,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38
5056,NCAA Final Four 2000,PC,1999,Sports,989 Sports,0.21,0.14,0,0.02,0.38
5057,Scribblenauts: Unlimited,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.09,0,0.03,0.38
5058,FIFA 17,PC4,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
5059,Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0,0.06,0.38
5060,Just Dance 2015,PC4,2014,Misc,Ubisoft,0.19,0.13,0,0.06,0.38
5061,Madagascar: Escape 2 Africa,PC4,2008,Action,Activision,0.12,0,0,0.26,0.38
5062,ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,0.32,0.03,0,0.03,0.38
5063,Hangman,X360,N/A,Puzzle,Atari,0.35,0.02,0,0,0.38
5064,Petz Rescue: Wildlife Vet,Wii,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.38
5065,Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.22,0.12,0,0.03,0.38
5066,Gravitar,X360,1982,Action,Atari,0.35,0.02,0,0,0.38
5067,Monster Jam: Path of Destruction,Wii,2010,Racing,Activision,0.35,0,0,0.02,0.38
5068,Toukiden: The Age of Demons,PC4,2013,Action,Tecmo Koei,0.05,0.05,0.25,0.03,0.38
5069,EyeToy Play 2,PC4,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.38
5070,Dance Dance Revolution Ultramix 3,X360,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,0.38
5071,Mobile Suit Gundam: Extreme VS Full Boost,PC4,2014,Fighting,Namco Bandai Games,0,0,0.38,0,0.38
5072,WWE SmackDown vs. Raw 2011,PC4,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38
5073,Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.12,0.2,0,0.06,0.38
5074,The Legend of Spyro: A New Beginning,Wii,2006,Platform,Vivendi Games,0.34,0.01,0,0.03,0.38
5075,Pro Evolution Soccer 2011 3D,X360,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38
5076,Shin Megami Tensei: Devil Survivor Overclocked,X360,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.38
5077,Dragon Ball Z: Attack of the Saiyans,Wii,2009,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38
5078,Marvel Super Hero Squad,Wii,2009,Fighting,THQ,0.31,0.03,0,0.03,0.38
5079,The House of the Dead: Overkill - Extended Cut,PC4,2011,Shooter,Sega,0.15,0.17,0,0.06,0.38
5080,The Golden Compass,PC4,N/A,Action,Sega,0.11,0.16,0,0.1,0.38
5081,Harry Potter and the Prisoner of Azkaban,PC,2004,Action,Electronic Arts,0.29,0.08,0,0.01,0.38
5082,Quake 4,X360,2005,Shooter,Activision,0.32,0.03,0,0.03,0.38
5083,Petz Rescue: Ocean Patrol,Wii,2008,Adventure,Ubisoft,0.35,0,0,0.03,0.37
5084,Solaris,X360,1986,Shooter,Atari,0.35,0.02,0,0,0.37
5085,Puppy Palace,Wii,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.37
5086,Super Dragon Ball Z,PC4,2006,Fighting,Atari,0.09,0.07,0.19,0.02,0.37
5087,Paws & Claws: Pampered Pets,Wii,2009,Simulation,THQ,0.35,0,0,0.03,0.37
5088,ESPN: Sports Connection,Wii,2012,Sports,Ubisoft,0.21,0.12,0,0.04,0.37
5089,Alien: Isolation,PC4,2014,Shooter,Sega,0.12,0.19,0,0.07,0.37
5090,Naruto Shippuden: Ninja Destiny 2,Wii,2008,Fighting,Takara Tomy,0.19,0.03,0.13,0.02,0.37
5091,SAW,PC4,2009,Action,Konami Digital Entertainment,0.13,0.17,0,0.07,0.37
5092,The Legend of Spyro: The Eternal Night,Wii,2007,Platform,Vivendi Games,0.32,0.03,0,0.03,0.37
5093,Tobal 2,PC,1997,Fighting,SquareSoft,0,0,0.35,0.02,0.37
5094,Digging for Dinosaurs,Wii,2010,Action,Scholastic Inc.,0.35,0,0,0.02,0.37
5095,Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0,0.04,0.37
5096,Tiger Woods PGA Tour 09,PC4,2008,Sports,Electronic Arts,0.16,0,0,0.21,0.37
5097,Ultimate Spider-Man,PC,2005,Action,Activision,0.29,0.07,0,0.01,0.37
5098,Life is Strange,PC4,2016,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37
5099,Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,0.18,0.12,0.04,0.04,0.37
5100,NBA Inside Drive 2002,X360,2002,Sports,Microsoft Game Studios,0.28,0.08,0,0.01,0.37
5101,The BIGS,Wii,2007,Sports,Take-Two Interactive,0.34,0,0,0.03,0.37
5102,Major League Baseball 2K6,X360,2006,Sports,Spike,0.34,0,0,0.03,0.37
5103,Kileak: The DNA Imperative,PC,1994,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02,0.37
5104,Petz: Catz 2,PC4,2006,Simulation,Ubisoft,0.18,0.14,0,0.05,0.37
5105,Mini Ninjas,Wii,2009,Action,Eidos Interactive,0.17,0.17,0,0.04,0.37
5106,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.2,0.14,0,0.03,0.37
5107,Phantasy Star Portable 2: Infinity,PC4,2011,Role-Playing,Sega,0,0,0.37,0,0.37
5108,Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.34,0.01,0,0.03,0.37
5109,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.21,0.13,0,0.03,0.37
5110,"Monsters, Inc. Scream Arena",PC,2002,Platform,THQ,0.29,0.07,0,0.01,0.37
5111,Reel Fishing III,PC4,2003,Sports,Natsume,0.18,0.14,0,0.05,0.37
5112,Cabela's Deer Hunt 2005 Season,PC4,2004,Sports,Activision,0.18,0.14,0,0.05,0.37
5113,Prince of Persia: The Forgotten Sands,PC4,2010,Action,Ubisoft,0.09,0.18,0.01,0.1,0.37
5114,Rampage: Total Destruction,PC4,2006,Action,Midway Games,0.18,0.14,0,0.05,0.37
5115,High Heat Major League Baseball 2003,PC4,2002,Sports,3DO,0.18,0.14,0,0.05,0.37
5116,Madden NFL 11,PC4,2010,Sports,Electronic Arts,0.35,0,0,0.03,0.37
5117,Super Formation Soccer 94,PC,1994,Sports,Human Entertainment,0,0,0.37,0,0.37
5118,Panzer Dragoon,PC4,1995,Shooter,Sega,0,0,0.37,0,0.37
5119,Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,0.21,0.13,0,0.03,0.37
5120,Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0,0.06,0.37
5121,Spider-Man: Friend or Foe,PC4,2007,Action,Activision,0.31,0.01,0,0.05,0.37
5122,Yarudora Series Vol.1: Double Cast,PC,1998,Adventure,Sony Computer Entertainment,0,0,0.35,0.02,0.37
5123,Dungeon Siege III,X360,2011,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37
5124,Juiced 2: Hot Import Nights,PC4,2007,Racing,THQ,0.06,0.2,0,0.11,0.37
5125,Rec Room Games,Wii,2009,Sports,Destineer,0.35,0,0,0.02,0.37
5126,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,X360,2000,Role-Playing,ChunSoft,0,0,0.32,0.05,0.37
5127,Turok: Rage Wars,X360,1999,Shooter,Acclaim Entertainment,0.3,0.06,0,0,0.37
5128,Scooby-Doo! Classic Creep Capers,X360,2000,Action,THQ,0.3,0.06,0,0,0.37
5129,Dragonfire,X360,1981,Action,Imagic,0.35,0.02,0,0,0.37
5130,Custom Robo,PC,2004,Role-Playing,Nintendo,0.29,0.07,0,0.01,0.37
5131,FIFA Soccer 13,PC4,2012,Action,Electronic Arts,0.05,0.19,0.02,0.1,0.37
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PC4,2009,Strategy,Electronic Arts,0.14,0.17,0,0.06,0.37
5133,Harry Potter and the Order of the Phoenix,PC4,2007,Action,Electronic Arts,0.1,0.17,0,0.1,0.37
5134,Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,0,0.33,0,0.03,0.37
5135,Pac-Man World 2,PC,2002,Action,Nintendo,0.28,0.07,0,0.01,0.37
5136,Kotoba no Puzzle: Mojipittan DS,Wii,2007,Puzzle,Namco Bandai Games,0,0,0.37,0,0.37
5137,Barbie Horse Adventures: Blue Ribbon Race,PC,2003,Sports,Knowledge Adventure,0.26,0.1,0,0.01,0.37
5138,Bionic Commando,PC4,2009,Platform,Capcom,0.12,0.17,0.01,0.07,0.37
5139,Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.04,0.37
5140,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,PC,2003,Adventure,Square Enix,0,0,0.36,0.01,0.37
5141,Dishonored,PC4,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
5142,Marvel: Ultimate Alliance,PC4,2006,Role-Playing,Activision,0.33,0,0,0.03,0.37
5143,NFL Street 2 Unleashed,PC4,2005,Sports,Electronic Arts,0.34,0,0,0.03,0.37
5144,Super Robot Taisen EX,PC,1994,Strategy,Banpresto,0,0,0.37,0,0.37
5145,FIFA Street 2,PC4,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37
5146,Bottom of the 9th,X360,1999,Sports,Konami Digital Entertainment,0.37,0,0,0,0.37
5147,Theatrhythm Final Fantasy: Curtain Call,X360,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37
5148,Trauma Center: Under the Knife,Wii,2005,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.37
5149,Shin Megami Tensei II,PC,1994,Role-Playing,Atlus,0,0,0.37,0,0.37
5150,Xenosaga Episode III: Also sprach Zarathustra,PC4,2006,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,0.37
5151,Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory,0.34,0,0,0.03,0.37
5152,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.03,0.37
5153,Need for Speed: The Run,PC,2011,Action,Electronic Arts,0.09,0.21,0,0.07,0.37
5154,Virtua Fighter 3tb,Wii,1998,Fighting,Sega,0,0,0.37,0,0.37
5155,Transformers: Dark of the Moon,PC4,2011,Action,Activision,0.11,0.19,0,0.07,0.37
5156,Mini-Yonku GB: Let's & Go!!,Wii,1997,Strategy,ASCII Entertainment,0,0,0.37,0,0.37
5157,Skylanders SWAP Force,PC4,2013,Platform,Activision,0.2,0.12,0,0.05,0.37
5158,LEGO Batman 2: DC Super Heroes,PC4,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.13,0,0.06,0.37
5159,Rock Band 4,PC4,2015,Misc,Harmonix Music Systems,0.25,0.05,0,0.07,0.37
5160,Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.04,0.37
5161,The Sims 2: Castaway,PC4,2007,Simulation,Electronic Arts,0.3,0.01,0,0.05,0.37
5162,NCAA Football 07,PC4,2006,Sports,Electronic Arts,0.34,0,0,0.03,0.37
5163,The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,0.31,0.02,0,0.03,0.36
5164,NBA Live 2003,X360,N/A,Sports,Electronic Arts,0.31,0.04,0,0.01,0.36
5165,Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision,0.25,0.08,0,0.03,0.36
5166,My Horse & Me,Wii,2007,Sports,Atari,0.33,0,0,0.03,0.36
5167,GoldenEye: Rogue Agent,PC,2004,Shooter,Electronic Arts,0.28,0.07,0,0.01,0.36
5168,Zero4 Champ RR,PC,1994,Sports,Media Rings,0,0,0.36,0,0.36
5169,Dragon Ball Z: Infinite World,PC4,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36
5170,Nonomura Byoin no Hitobito,PC4,1996,Adventure,Elf,0,0,0.36,0,0.36
5171,Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36
5172,ESPN X Games Skateboarding,PC4,2001,Sports,Konami Digital Entertainment,0.18,0.14,0,0.05,0.36
5173,Bejeweled 3,Wii,N/A,Puzzle,Unknown,0.32,0.02,0,0.03,0.36
5174,Resident Evil Zero,PC4,2016,Action,Capcom,0.09,0.17,0.05,0.05,0.36
5175,Super Fire ProWrestling Special,PC,1994,Fighting,Human Entertainment,0,0,0.36,0,0.36
5176,Yuu Yuu Hakusho,PC,1993,Fighting,Namco Bandai Games,0,0,0.36,0,0.36
5177,Kamaitachi no Yoru 2,PC4,2002,Adventure,ChunSoft,0,0,0.36,0,0.36
5178,High Heat Major League Baseball 2004,PC4,2003,Sports,3DO,0.18,0.14,0,0.05,0.36
5179,Robots,PC4,2005,Action,Vivendi Games,0.18,0.14,0,0.05,0.36
5180,NARC,PC4,2005,Shooter,Midway Games,0.18,0.14,0,0.05,0.36
5181,One Piece: Gigant Battle!,Wii,2010,Fighting,Namco Bandai Games,0,0,0.36,0,0.36
